id,title,description,genres,genre_category,rating,url
locked,Locked,"From producer Sam Raimi (Evil Dead, Drag Me to Hell) comes a relentless horror-thriller where luxury becomes deadly. When Eddie (Bill Skarsgård) breaks into a luxury SUV, he steps into a deadly trap set by William (Anthony Hopkins), a self-proclaimed vigilante delivering his own brand of twisted justice. With no means of escape, Eddie must fight to survive in a ride where escape is an illusion, survival is a nightmare, and justice shifts into high gear.",Mystery & Thriller/|Horror,HORROR,R,https://www.rottentomatoes.com/m/locked
the_gorge,The Gorge,"Two highly-trained operatives (Miles Teller and Anya Taylor-Joy) are appointed to posts in guard towers on opposite sides of a vast and highly classified gorge, protecting the world from an undisclosed, mysterious evil that lurks within. They bond from a distance while trying to stay vigilant in defending against an unseen enemy. When the cataclysmic threat to humanity is revealed to them, they must work together in a test of both their physical and mental strength to keep the secret in the gorge before it's too late.",Mystery & Thriller/|Action/|Adventure/|Horror/|Romance,HORROR,PG-13,https://www.rottentomatoes.com/m/the_gorge
the_woman_in_the_yard,The Woman in the Yard,"Danielle Deadwyler (Till, The Harder They Fall, The Piano Lesson) stars as Ramona, a woman crippled by grief after she survives a car accident that takes her husband (Russell Hornsby; BMF, Fences). Seriously injured, Ramona now must care for their 14-year-old son (Peyton Jackson; Respect, American Refugee) and 6-year-old-daughter (Estella Kahiha; Will Trent, BMF), alone in her rural farmhouse. Then one day the woman takes form in their yard. Ramona assumes the woman (Okwui Okpokwasili; The Exorcist: Believer, Julie Taymor’s A Midsummer Night's Dream) is lost or demented, but as the woman creeps nearer and nearer to the house, it becomes clear she is no ordinary figure and her intentions are anything but peaceful. Now Ramona must rally to protect herself and her children from the grasp of the woman who simply won't leave them alone.",Horror/|Mystery & Thriller,HORROR,PG-13,https://www.rottentomatoes.com/m/the_woman_in_the_yard
companion_2025,Companion,"New Line Cinema--the studio that brought you ""The Notebook""--and the unhinged creators of ""Barbarian"" cordially invite you to experience a new kind of love story....",Mystery & Thriller/|Sci-Fi/|Horror/|Comedy,HORROR,R,https://www.rottentomatoes.com/m/companion_2025
ash_2025,Ash,"When a woman wakes up on a distant planet and finds the crew of her space station viciously killed, she must decide if she can trust the man sent to rescue her. But as their investigation into what happened sets in motion a terrifying chain of events, he begins to wonder how innocent she really is....",Sci-Fi/|Horror,HORROR,R,https://www.rottentomatoes.com/m/ash_2025
hell_of_a_summer,Hell of a Summer,"Hell of a Summer follows 24-year-old camp counselor Jason Hochberg (Fred Hechinger), who arrives at Camp Pineway thinking his biggest problem is that he feels out of touch with his teenage co-workers. What he doesn't know is that a masked killer is lurking on the campgrounds, brutally picking counselors off one by one.",Horror/|Comedy,HORROR,R,https://www.rottentomatoes.com/m/hell_of_a_summer
heretic_2024,Heretic,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed (Hugh Grant), becoming ensnared in his deadly game of cat-and-mouse.",Mystery & Thriller/|Horror,HORROR,R,https://www.rottentomatoes.com/m/heretic_2024
it_feeds_2025,It Feeds,"A young girl insists that a malevolent entity is feeding on her, and her anguished father desperately struggles to protect his own daughter. To save the girl before she is consumed completely, a clairvoyant therapist must confront her own personal demons.",Horror/|Mystery & Thriller,HORROR,Released Apr 18,https://www.rottentomatoes.com/m/it_feeds_2025
wolf_man_2025,Wolf Man,"From Blumhouse and visionary writer-director Leigh Whannell, the creators of the chilling modern monster tale The Invisible Man, comes a terrifying new lupine nightmare: Wolf Man. Golden Globe nominee Christopher Abbott (Poor Things, It Comes at Night) stars as Blake, a San Francisco husband and father, who inherits his remote childhood home in rural Oregon after his own father vanishes and is presumed dead. With his marriage to his high-powered wife, Charlotte (Emmy winner Julia Garner; Ozark, Inventing Anna), fraying, Blake persuades Charlotte to take a break from the city and visit the property with their young daughter, Ginger (Matlida Firth; Hullraisers, Coma). But as the family approaches the farmhouse in the dead of night, they're attacked by an unseen animal and, in a desperate escape, barricade themselves inside the home as the creature prowls the perimeter. As the night stretches on, however, Blake begins to behave strangely, transforming into something unrecognizable, and Charlotte will be forced to decide whether the terror within their house is more lethal than the danger without.",Horror/|Mystery & Thriller,HORROR,R,https://www.rottentomatoes.com/m/wolf_man_2025
the_monkey,The Monkey,"When twin brothers find a mysterious wind-up monkey, a series of outrageous deaths tears their family apart. Twenty-five years later, the monkey begins a new killing spree, forcing the estranged siblings to confront the cursed toy.",Horror/|Comedy,HORROR,R,https://www.rottentomatoes.com/m/the_monkey
nosferatu_2024,Nosferatu,"Robert Eggers' NOSFERATU is a gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Horror,HORROR,R,https://www.rottentomatoes.com/m/nosferatu_2024
oddity,Oddity,"When Dani is brutally murdered at the remote country house that she and her husband Ted are renovating, everyone suspects a patient from the local mental health institution, where Ted is a doctor. However, soon after the tragic killing, the suspect is found dead. A year later, Dani's blind twin sister Darcy, a self-proclaimed psychic and collector of cursed items, pays an unexpected visit to Ted and his new girlfriend, Yana. Convinced that there was more to her sister's murder than people know, Darcy has brought with her the most dangerous items from her cursed collection to help her exact revenge.",Horror/|Mystery & Thriller,HORROR,R,https://www.rottentomatoes.com/m/oddity
the_substance,The Substance,"Have you ever dreamt of a better version of yourself? You, only better in every way. You should try this new product, it's called The Substance. IT CHANGED MY LIFE. With The Substance, you can generate another you: younger, more beautiful, more perfect. You just have to share time -- one week for one, one week for the other. A perfect balance of seven days each... Easy right? If you respect the balance... What could possibly go wrong?",Horror/|Drama,HORROR,R,https://www.rottentomatoes.com/m/the_substance
presence_2024,Presence,A family moves into a suburban house and becomes convinced they're not alone.,Horror/|Mystery & Thriller,HORROR,R,https://www.rottentomatoes.com/m/presence_2024
speak_no_evil_2024,Speak No Evil,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",Horror/|Mystery & Thriller/|Drama,HORROR,R,https://www.rottentomatoes.com/m/speak_no_evil_2024
